Date,Open,High,Low,Close
2024-06-25,2876.8533346463296,2902.2617139924455,2847.1611367322216,2865.232421875
2024-06-26,2862.9181702392007,2868.7285062632977,2801.4162707405717,2808.21142578125
2024-06-27,2798.8555699379513,2860.8991663158863,2750.648728458151,2845.0927734375
2024-06-28,2811.658302246385,2852.0358820684874,2811.658302246385,2823.13134765625
2024-07-01,2797.870855271904,2850.115552732996,2795.1626029480753,2832.19189453125
2024-07-02,2846.323816693061,2847.1117199774294,2806.734141105387,2821.654052734375
2024-07-03,2827.4155652789345,2851.051223086909,2821.605228908212,2834.260009765625
2024-07-04,2846.126934619717,2877.641142892323,2841.252128614414,2858.732666015625
2024-07-05,2862.998466472152,2862.998466472152,2817.365088281674,2857.6416015625
2024-07-08,2857.6416325231335,2895.338771436734,2824.8053435915176,2828.624755859375
2024-07-09,2832.5927902342946,2916.5680279012136,2814.6369514158905,2902.18359375
2024-07-10,2906.647760662118,2906.647760662118,2676.3975118218455,2710.225830078125
2024-07-11,2735.9688823290912,2735.9688823290912,2669.552527310803,2676.54638671875
2024-07-12,2668.2133369196877,2700.603261060401,2665.7332619714625,2682.3994140625
2024-07-15,2701.1488501029403,2717.1700369404543,2686.5164083194895,2709.283447265625
2024-07-16,2732.992862104299,2744.7981638252827,2718.162062791897,2734.778564453125
2024-07-18,2734.034508649503,2803.4269543614964,2714.689924861889,2796.978759765625
2024-07-19,2797.4747572444453,2797.4747572444453,2721.1381024449315,2727.387939453125
2024-07-22,2729.1240363358197,2796.532422849909,2703.2816077566517,2782.39599609375
2024-07-23,2801.4925519956732,2831.749465181179,2721.5348419127736,2798.86376953125
2024-07-24,2800.500661542339,2807.8415865898132,2741.6235847626963,2783.14013671875
2024-07-25,2777.4855177553463,2804.468684105085,2759.628978556941,2788.992919921875
2024-07-26,2799.1118444819404,2874.3075220290307,2767.763600728381,2864.7841796875
2024-07-29,2876.8867916675545,2921.5281384348095,2852.5820584276044,2909.623779296875
2024-07-30,2921.5281798143556,2926.488329525416,2881.450267026915,2898.810791015625
2024-07-31,2913.5919821493057,2955.8525551728085,2850.0524149985067,2884.624755859375
2024-08-01,2903.175657131394,2903.175657131394,2797.6237670218666,2805.857421875
2024-08-02,2787.9018703594743,2787.9018703594743,2712.0612276673046,2727.735107421875
2024-08-05,2658.293005350739,2707.448138675949,2614.7926365957437,2657.5986328125
2024-08-06,2666.874289240377,2726.842454117056,2604.7731145533608,2611.96533203125
2024-08-07,2676.0008447045843,2683.193061988776,2639.791750791065,2659.483642578125
2024-08-08,2639.295626916683,2694.8493029577785,2635.3275071994617,2661.566650390625
2024-08-09,2712.209856953295,2742.9627851045575,2683.440988682759,2727.239013671875
2024-08-12,2727.239179395318,2735.0267117783114,2687.111614308192,2695.990234375
2024-08-13,2696.43685697053,2716.8228798438963,2682.5484368824914,2696.38720703125
2024-08-14,2707.051516244151,2749.857513926392,2693.659111225326,2723.370361328125
2024-08-16,2766.7716291304046,2822.3749582480204,2754.0239469407784,2817.8115234375
2024-08-19,2837.1064118408203,2837.1064118408203,2738.002714802525,2743.111572265625
2024-08-20,2757.5952511156265,2761.0177060011893,2726.5943152050722,2749.212646484375
2024-08-21,2751.891071350175,2758.7856310387847,2733.0425023683247,2747.32763671875
