Date,Open,High,Low,Close
2024-06-25,243.32600884102914,243.95660397952446,238.73154715205848,240.53329467773438
2024-06-26,240.44322085861432,242.4701869856413,237.9207851197536,241.20896911621094
2024-06-27,240.89367176128601,241.52429447885706,237.38026910229263,240.9837646484375
2024-06-28,242.33506774523633,248.1457151249706,241.74950523617116,247.01962280273438
2024-07-01,247.74030453399843,248.46099260473866,244.67733899462107,245.89352416992188
2024-07-02,246.11872733786078,252.06447228329267,244.58723091707625,247.60516357421875
2024-07-03,248.64118728593536,250.17268385679344,246.8394395519793,247.47006225585938
2024-07-04,247.74030156721898,251.25370398185663,245.9835866136565,249.5870819091797
2024-07-05,249.76725699082291,260.62277510740614,249.09160165180356,259.6318359375
2024-07-08,261.2534089354532,272.9647686463528,258.86609880057495,269.49639892578125
2024-07-09,270.98280981819937,271.92874374007306,264.27131695506927,267.96490478515625
2024-07-10,269.99189091567047,270.0819563023679,260.2174046126431,268.59552001953125
2024-07-11,270.26216977927606,276.7484728509745,265.8929258693465,274.54132080078125
2024-07-12,276.3880770713081,280.8474134787922,274.04582713251557,276.6583557128906
2024-07-15,280.8924386986813,291.5677986836884,278.0546917387393,290.53179931640625
2024-07-16,291.5227722742984,295.12626753728733,288.0544025851742,290.66693115234375
2024-07-18,292.8740820726827,300.26123084298047,289.7660564211787,298.8198547363281
2024-07-19,299.9909965266384,300.1711822963225,286.5229212711648,287.9643249511719
2024-07-22,288.279617129951,291.2975498702776,283.32481121053,289.00030517578125
2024-07-23,288.324671832444,289.540857058546,267.91988412335917,283.009521484375
2024-07-24,282.01852694976026,293.45963499810046,281.1627133508599,287.87420654296875
2024-07-25,286.52291690208847,304.089956971361,284.7662293906541,302.513427734375
2024-07-26,303.1440431041457,304.94579076003953,297.3784561037827,298.7297668457031
2024-07-29,300.7116598179789,305.8916841055346,297.964005758096,299.90087890625
2024-07-30,299.0900928758694,304.720553961635,298.1892191021469,299.0
2024-07-31,299.13515122830773,303.99989201771047,297.06315236799776,301.0720520019531
2024-08-01,304.3151641377379,310.53121546396454,303.7296016556623,307.8736267089844
2024-08-02,304.49537729423815,304.49537729423815,296.0722008557961,297.37847900390625
2024-08-05,288.5949560516603,291.2525175306691,275.6674102365154,279.4961242675781
2024-08-06,283.59503101826334,290.4867368477544,274.90160527328095,275.7574462890625
2024-08-07,281.432966300609,298.1441915889094,281.0726222833583,296.4775695800781
2024-08-08,296.38749993616557,296.38749993616557,289.81113175524604,290.7120056152344
2024-08-09,300.84681660345615,302.55847132550764,295.6667922517953,299.5855712890625
2024-08-12,299.76577085098177,310.53122425720073,297.19827490342243,307.4682312011719
2024-08-13,309.99069206770116,310.8014730205616,299.94595430770806,302.603515625
2024-08-14,302.55850517193244,303.1440677091282,294.40557987178005,295.62176513671875
2024-08-16,299.5855702392506,302.4683773870676,296.07216792893314,296.9280090332031
2024-08-19,301.7927066353209,305.17098320213415,300.48642869915903,302.0629577636719
2024-08-20,302.5585039134976,302.6936294995977,295.531671018906,297.37847900390625
2024-08-21,297.8739309727914,298.6396792385674,294.1353100192828,295.21636962890625
2024-08-22,295.98207879327373,297.73879371688855,291.5227699365764,292.19842529296875
2024-08-23,294.5134956595428,294.8766387018133,288.29457062627245,289.52020263671875
2024-08-26,293.6963839393301,298.78046907886863,293.0608629071246,297.6456298828125
2024-08-27,299.05284604035654,301.9126355279345,295.9660886933512,298.55352783203125
2024-08-28,298.3719465178911,299.86992886926686,294.74046071768913,297.6002502441406
2024-08-29,296.05688595406156,299.73375425119883,295.01283932576655,299.23443603515625
2024-08-30,300.00615304603735,303.5922289046537,299.18904651816337,300.27850341796875
2024-09-02,299.59754407413584,301.36790428062415,295.7844733398693,296.14764404296875
