Date,Open,High,Low,Close
2024-06-25,1434.4115183965616,1451.237207255743,1429.1006009006553,1449.4041748046875
2024-06-26,1448.5112883548547,1455.89011914625,1442.8714001458156,1448.229248046875
2024-06-27,1446.1141853395814,1483.6665071274144,1440.0983968135813,1478.9195556640625
2024-06-28,1478.1677581888457,1493.160415233066,1470.3658668733547,1472.7158203125
2024-07-01,1465.900805673246,1503.876072321398,1465.900805673246,1495.322265625
2024-07-02,1500.3982072481522,1535.7415983279318,1491.2804339153117,1523.7568359375
2024-07-03,1527.469729765856,1537.8095248596555,1509.6100836947476,1529.7257080078125
2024-07-04,1530.4775505601317,1560.3690026530594,1530.2896001922775,1551.5802001953125
2024-07-05,1552.332191113537,1565.8679458210338,1535.3185512266714,1548.572265625
2024-07-08,1544.483343885064,1566.008939897241,1541.5694246287367,1561.9200439453125
2024-07-09,1560.2748898271884,1566.7137383996742,1551.9090338070268,1557.68994140625
2024-07-10,1557.5490553427878,1573.5287378659184,1539.2664644712022,1549.32421875
2024-07-11,1556.6090643284788,1565.0688961998292,1543.4963708254108,1553.507080078125
2024-07-12,1579.1685341207829,1616.532789615605,1566.6198071109059,1609.012939453125
2024-07-15,1622.5957659620963,1624.2877782953476,1600.4592739409936,1604.59521484375
2024-07-16,1615.4519041715741,1633.593589888385,1597.9682742375035,1622.454833984375
2024-07-18,1615.827863817848,1659.4430193327232,1615.827863817848,1652.5341796875
2024-07-19,1733.3256958168,1733.3256958168,1679.2297205297605,1685.339599609375
2024-07-22,1692.1075281917851,1713.586080081119,1685.3395933133556,1702.165283203125
2024-07-23,1701.3662125939957,1729.5186076175692,1676.2217119382558,1726.6517333984375
2024-07-24,1727.2156416274588,1731.7745279912915,1710.3899533806657,1723.878662109375
2024-07-25,1710.7660645530111,1721.0118842620095,1703.246213719811,1715.324951171875
2024-07-26,1715.7949342558115,1769.9848820315087,1715.7949342558115,1766.1309814453125
2024-07-29,1779.9487760733678,1788.784624281326,1752.12534926978,1758.7991943359375
2024-07-30,1758.7990290172347,1767.1178407699306,1748.365259289592,1764.4859619140625
2024-07-31,1764.3450764549252,1772.005947764429,1753.112344694683,1756.1202392578125
2024-08-01,1744.6994808498382,1755.7913074406626,1734.3596852882927,1741.4095458984375
2024-08-02,1732.3855594141,1747.895251074617,1707.147084115294,1711.8939208984375
2024-08-05,1677.8196096487513,1689.6164211011132,1615.4049418548652,1646.7532958984375
2024-08-06,1654.5551502330297,1689.0994653436978,1640.126459251215,1646.0013427734375
2024-08-07,1688.206449501223,1689.9924369566963,1656.341059827465,1684.1175537109375
2024-08-08,1673.1198103688212,1673.1198103688212,1623.4418174161967,1638.528564453125
2024-08-09,1664.9419144885312,1673.8717370362467,1650.6071993461458,1664.471923828125
2024-08-12,1666.6339385624474,1695.2563240862842,1661.9809621451984,1689.5224609375
2024-08-13,1701.3662700318037,1701.3662700318037,1681.6737063397366,1689.5694580078125
2024-08-14,1693.8463200211247,1715.465890143481,1689.569359164612,1713.8209228515625
2024-08-16,1738.9653871768742,1750.1041425189478,1719.6957707243737,1747.378173828125
2024-08-19,1748.3653628246682,1755.46226812506,1738.2135180462226,1752.8773193359375
