Date,Open,High,Low,Close
2024-06-25,1333.266888653399,1341.7331262015655,1319.850482434882,1339.7437744140625
2024-06-26,1339.743673928047,1344.6939551750315,1330.7222980094757,1335.811279296875
2024-06-27,1327.7615552943937,1351.4022330434384,1317.1209574645084,1346.1744384765625
2024-06-28,1358.295478907285,1358.9431223079755,1334.2384745124693,1350.523193359375
2024-07-01,1355.519522898167,1368.1031627737143,1346.266829909101,1359.081787109375
2024-07-02,1364.7721869462919,1380.918090690662,1362.9216483877208,1370.1387939453125
2024-07-03,1377.7260070429872,1377.7260070429872,1361.256168092589,1370.3238525390625
2024-07-04,1374.0249533902045,1419.8720938154886,1374.0249533902045,1408.583740234375
2024-07-05,1409.1850726986786,1414.9680055314868,1393.039169408641,1405.8541259765625
2024-07-08,1413.8115065318443,1424.9147382585343,1393.6405903825255,1418.8079833984375
2024-07-09,1418.8079741498877,1430.7439707678568,1411.035689402286,1416.6798095703125
2024-07-10,1416.679820088098,1418.0677240551913,1376.6619223702419,1397.1103515625
2024-07-11,1401.7829850829419,1419.3631017275463,1395.3524086473699,1398.9146728515625
2024-07-12,1415.6620151319623,1448.9717096056554,1397.6192639587118,1443.6051025390625
2024-07-15,1461.9254352274115,1514.110644239035,1450.267065105686,1452.3026123046875
2024-07-16,1448.0465709641046,1464.7014197036278,1438.793877219925,1452.256591796875
2024-07-18,1441.616093242973,1479.73714891437,1440.6445151537746,1475.388427734375
2024-07-19,1490.1464300932266,1495.6517380708724,1469.8830068087996,1475.388427734375
2024-07-22,1469.8829073889917,1475.3420192942463,1453.5056846211498,1459.2423095703125
2024-07-23,1467.540256015057,1492.5276451627333,1446.1891075453211,1490.2432861328125
2024-07-24,1486.1874965218014,1489.9169507163356,1470.197438899955,1476.5841064453125
2024-07-25,1463.810761333236,1486.1874863472472,1457.1443392433634,1480.2203369140625
2024-07-26,1494.392237474272,1529.0761135487187,1486.1873932906449,1524.7406005859375
2024-07-29,1529.2626345503043,1533.7380250730414,1510.4289365460954,1521.943603515625
2024-07-30,1518.8201413282568,1522.549595327835,1508.5641428294164,1519.985595703125
2024-07-31,1511.3613360077925,1533.7380615254895,1509.6830360684005,1531.5003662109375
2024-08-01,1529.1228075066522,1543.5277780919457,1525.439903384143,1529.5889892578125
2024-08-02,1510.4756673005784,1528.1439116627548,1492.8539728291769,1500.4527587890625
2024-08-05,1468.4726116460108,1487.772491873508,1433.0427962539165,1456.724853515625
2024-08-06,1457.2841847006544,1496.443452619674,1457.2841847006544,1475.6983642578125
2024-08-07,1496.4434294118419,1505.7670644860589,1482.4579768005162,1486.746826171875
2024-08-08,1488.984599950462,1493.6464177336507,1449.4058124967544,1452.4825439453125
2024-08-09,1477.7030093261794,1493.6464032270571,1469.2650736949945,1482.411376953125
2024-08-12,1482.4580236752877,1492.247840812766,1467.4003297915276,1478.029296875
2024-08-13,1471.2698051634748,1499.6136822209162,1470.943500656419,1484.928955078125
2024-08-14,1491.874848596663,1519.5194497831724,1490.149998843967,1516.1629638671875
2024-08-16,1524.4144386075416,1560.7766178770792,1522.2699568686448,1555.41552734375
2024-08-19,1552.385381540089,1571.0326533904201,1546.8378636901812,1564.9722900390625
2024-08-20,1566.3707307414406,1580.4028473965625,1556.3011590896826,1572.6641845703125
2024-08-21,1571.9648210426294,1574.6220341873054,1560.5433684579482,1563.806640625
2024-08-22,1572.8972493014176,1572.8972493014176,1559.8441600955966,1562.7811279296875
2024-08-23,1562.6881620469744,1571.9184712545161,1545.0664660630719,1549.0755615234375
2024-08-26,1557.979497199081,1616.7184010432115,1554.3432565792812,1603.1524658203125
2024-08-27,1609.119554149754,1638.0228231964782,1589.7730111588019,1595.8333740234375
2024-08-28,1596.7192483551787,1620.2147643672668,1578.5381590700906,1603.1524658203125
2024-08-29,1598.0710264783568,1637.2302931715253,1582.4539379757239,1633.3609619140625
2024-08-30,1633.361050112899,1646.833771598181,1624.3637191597752,1634.6663818359375
2024-09-02,1644.8758090122176,1689.4428343852535,1640.9599274382153,1684.4547119140625
2024-09-03,1683.8486411261572,1694.2445179025374,1666.1803966465511,1669.350341796875
2024-09-04,1645.7148056707367,1674.1985563737073,1645.6215920826917,1664.501953125
2024-09-05,1670.795362971263,1676.1097893033675,1647.766030446941,1669.4434814453125
2024-09-06,1667.0661527122502,1674.29197076791,1622.3593626547345,1637.32373046875
2024-09-09,1639.4213509574986,1646.8337091318574,1623.384744151051,1628.60595703125
2024-09-10,1631.1233427274042,1668.2781206926354,1628.978974882689,1658.7679443359375
2024-09-11,1657.9288049169436,1675.3174077386348,1653.7331689777964,1658.441650390625
2024-09-12,1678.254513363478,1691.4940312211115,1656.9033637362368,1685.3404541015625
2024-09-13,1682.9162393510019,1696.901692863614,1674.1986627575893,1690.188720703125
2024-09-16,1695.9694010682038,1700.8643100047666,1685.8998285874216,1689.302978515625
2024-09-17,1689.3961629015425,1704.3606440601309,1684.9674358450404,1691.074462890625
2024-09-18,1685.806468375602,1685.806468375602,1622.4057486159593,1637.696533203125
2024-09-19,1655.8778017474087,1655.8778017474087,1605.063984069912,1619.0494384765625
2024-09-20,1629.7714437108875,1646.6472007714283,1604.9705966780684,1641.0064697265625
2024-09-23,1644.6892520881418,1644.6892520881418,1615.3198011579964,1634.246826171875
2024-09-24,1631.6361553900927,1662.8703332218458,1620.7740976500002,1655.504638671875
2024-09-25,1658.4884843699795,1663.3833934682102,1636.2981842657643,1661.844970703125
2024-09-26,1661.7048963926627,1686.0862253923178,1658.581501339248,1663.1966552734375
2024-09-27,1687.5780626610047,1704.8734524199185,1675.0378181629285,1686.0863037109375
2024-09-30,1685.7134360465666,1697.5544085728748,1668.1384044567633,1674.6182861328125
2024-10-01,1668.9306727986084,1699.1858229894235,1668.9306727986084,1693.6383056640625
2024-10-03,1657.7425255743321,1686.9255525681092,1650.2836165728727,1658.25537109375
2024-10-04,1657.7424655798611,1685.6201597266925,1647.7195569718838,1656.4371337890625
2024-10-07,1664.222213798516,1682.1702114970444,1648.3254841253056,1656.7633056640625
2024-10-08,1654.0128758960088,1672.6601461992334,1625.109606926011,1668.4178466796875
2024-10-09,1671.774577153157,1701.5635482671169,1669.0706999849085,1687.29833984375
2024-10-10,1696.9017621684422,1715.5023705743374,1675.45739923994,1686.3194580078125
2024-10-11,1681.9838723729733,1727.4832599006452,1678.860477190939,1715.22265625
2024-10-14,1721.1896555293672,1739.3240797714584,1708.4628712072833,1730.3734130859375
2024-10-15,1706.2252818384295,1755.4074586783076,1706.1786181357666,1743.613037109375
2024-10-16,1742.587427670763,1757.5052440660183,1728.648638502009,1739.091064453125
2024-10-17,1743.4268129737363,1750.093235838135,1726.2246353322669,1741.4688720703125
2024-10-18,1740.7227845358063,1747.156115929171,1718.3460588642158,1732.0517578125
2024-10-21,1748.4615121133868,1760.768666160667,1715.5490313664957,1718.905517578125
2024-10-22,1717.216372084379,1738.0504078230008,1707.5500631932775,1710.60009765625
2024-10-23,1683.1496490433046,1750.2504017093745,1683.1496490433046,1732.184814453125
2024-10-24,1731.4811534066312,1748.3266830319271,1724.6302607427576,1731.3873291015625
2024-10-25,1745.5579961344235,1756.3973940310239,1726.9762039001303,1738.378662109375
2024-10-28,1731.574659297666,1761.3242903476691,1731.574659297666,1756.5849609375
2024-10-29,1756.5849609375,1760.4796426381895,1737.2993155692532,1756.5849609375
2024-10-30,1746.4965095645418,1754.4265526745207,1722.3778233648327,1725.6624755859375
2024-10-31,1726.7886367510255,1730.4487007951857,1648.4731870656876,1657.388671875
2024-11-01,1667.6649040771442,1671.700379888333,1643.2646297349913,1649.2708740234375
2024-11-04,1654.5263395467941,1672.4511340400636,1637.633841468608,1654.4793701171875
2024-11-05,1660.15703043901,1673.6240812335957,1653.1184901742884,1664.4271240234375
2024-11-06,1680.89721486218,1738.9886559072063,1673.2956143996487,1725.2869873046875
2024-11-07,1736.2204463460068,1747.951348217052,1702.5761281321784,1719.2340087890625
2024-11-08,1725.8031214540183,1740.0679652747976,1715.5738678104374,1724.4423828125
2024-11-11,1733.0764400535204,1758.6967750767114,1721.157889802929,1752.4090576171875
2024-11-12,1774.6505997404445,1776.480574365845,1749.7341216463303,1757.6173095703125
2024-11-13,1751.1889592794778,1763.9521570782795,1744.7134788010935,1750.015869140625
2024-11-14,1756.8197383356674,1780.281540396774,1732.7479065090558,1744.5726318359375
2024-11-18,1744.572550914398,1750.2973219994303,1703.3267506279803,1722.09619140625
2024-11-19,1723.973220367031,1750.2504387504152,1705.4853661139823,1708.535400390625
2024-11-21,1722.0962447997886,1726.3663385330692,1708.2068123693975,1723.3631591796875
2024-11-22,1732.7478215928602,1784.973813333378,1723.5038949457144,1781.5953369140625
2024-11-25,1800.9280750497876,1801.8195777779565,1762.919952569581,1775.3077392578125
2024-11-26,1773.806174202248,1797.127184039014,1772.914671490419,1782.6748046875
2024-11-27,1780.0468767449104,1799.0509359272405,1770.9905984695636,1774.6976318359375
2024-11-28,1769.1135965115943,1783.5660886501398,1722.096170835573,1727.6331787109375
2024-11-29,1728.6655818467866,1757.1013318671214,1721.1108357331243,1734.3433837890625
2024-12-02,1734.343460379964,1762.9668602576523,1722.518619930365,1756.3505859375
